,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK020_21F,AK029_30F,AK034F
ENSG00000158286,17,42,60,19,7,23,24,37,31,249,156,64,45
ENSG00000116237,890,629,816,238,10,684,663,697,663,1990,1306,1187,498
ENSG00000173673,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000158292,4,3,4,2,0,5,2,4,2,12,4,13,3
ENSG00000097021,414,374,622,74,4,1146,891,1184,1104,1002,1231,1164,370
ENSG00000069812,7,13,21,5,2,13,8,8,10,36,20,32,18
ENSG00000187017,0,0,1,2,0,1,2,1,0,9,6,2,1
ENSG00000215788,0,0,2,0,0,0,0,0,0,11,5,3,1
ENSG00000171680,4,5,6,8,2,8,8,9,9,34,26,20,11
ENSG00000162408,107,88,207,75,6,545,494,604,548,548,659,786,196
ENSG00000173662,1,0,1,0,0,0,0,0,0,0,1,1,0
ENSG00000204859,36,44,49,29,6,87,61,68,96,352,254,326,55
ENSG00000162413,98,85,154,112,10,267,213,281,241,741,803,862,122
ENSG00000116273,75,81,106,41,2,119,130,114,122,418,410,432,80
ENSG00000041988,80,98,110,66,7,86,74,111,112,471,400,453,70
ENSG00000007923,186,195,298,85,8,633,550,673,684,887,916,780,280
ENSG00000171735,290,339,375,154,9,233,307,239,311,836,500,516,224
ENSG00000049245,532,944,799,333,10,808,894,905,1018,1903,1398,1377,545
ENSG00000049246,13,13,18,8,6,24,37,45,34,52,46,64,11
ENSG00000049247,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000049249,9,13,19,5,8,38,42,47,96,105,49,69,82
ENSG00000116288,2843,2525,3739,619,43,3930,3782,4102,4416,5332,4770,5322,1857
ENSG00000116285,528,467,711,328,40,812,661,734,813,2381,1880,2532,396
ENSG00000162426,30,29,42,12,0,69,71,64,75,115,125,101,19
ENSG00000142599,76,95,142,64,12,247,206,227,238,578,434,456,134
ENSG00000074800,10110,8851,16588,2240,184,39754,30531,42305,37351,23950,33581,31134,12742
ENSG00000131686,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197241,4,1,0,0,0,0,2,0,0,0,0,1,0
ENSG00000142583,0,0,0,0,0,2,1,0,6,6,0,8,1
ENSG00000180758,59,38,53,39,1,45,43,54,59,364,210,208,38
ENSG00000049239,130,151,215,21,3,228,264,320,292,432,293,268,174
ENSG00000171621,147,145,198,85,6,174,178,187,199,819,472,667,179
ENSG00000171612,72,48,86,37,6,69,68,64,66,275,189,302,40
