Geneid,AK006F,AK007F,AK008F,AK010F,AK012F,AK014F,AK016F,AK017F,AK018F,AK019_20F,AK021_22F,AK029_30F,AK034F,AK098F,AK102F,AK117F,AK123F,AK133F,AK134F,AK135F,AK136F,AK137F,AK138F
ENSG00000143631,3,2.5,0,9,1,3,5,6,7,11.33,17,12,9,14.5,0,3,2,26,12,3,1,12,4
ENSG00000143520,0,0,0,2,0,0,0,0,0,2,1,1.2,1,0.33,0,0,0,0,0,0,0,0,0
ENSG00000143536,1.33,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
ENSG00000186207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
ENSG00000244057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0,0,0
ENSG00000279850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169509,1,3,5,4,0,1,3,1,4,10,5,7,1,6,2,4,4,5,4,0,0,0,0
ENSG00000185966,2,2,0.5,0.5,0,0.33,1,0.5,0.5,2.5,1,1,0.5,4.5,2,0.33,0,2.67,0.5,0,0,1.5,2.5
ENSG00000163202,4,1,3.5,2.5,0,1.33,2,1.5,1.5,2.5,4.33,1,0.5,7.5,2,2.33,0,2.67,0.5,0,0,1.5,3.5
ENSG00000187238,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33,0,0,0,0,0
ENSG00000185962,0,0,0,1,0,0.33,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000187223,0.33,0,0,0.25,0,0,0.2,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000187180,0.33,0,0,0.25,0,0,0.2,0,0,1.83,0,0,0,0,0,0,0.33,0,0,0,0,0,0
ENSG00000159455,0.33,0,0,0.25,0,0,0,0,0,0.33,0,0,0,0,0,0,0.33,0,0,1,0,0,1
ENSG00000187173,0,0,0.25,0.25,0,0,0.2,0,0,1,0,0,0,0,0,0,0.33,0,0,0,0,0,0
ENSG00000187170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000198854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
ENSG00000196734,0,0,0,0,0.17,1.5,0,0,0.5,1.37,0.33,0,0,0.2,0,0,1,0,0,0,0,0,0.5
ENSG00000203786,0,0,0.33,0,0,0.5,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
ENSG00000240386,0,0.17,1.25,0,0.17,0.33,0.2,0,0,2,1,1.33,0.25,0.25,0,1,0,1.5,2,0.5,0,1,2.83
ENSG00000186226,2,1.17,0.25,0,0.17,0.33,0.2,1,0,3.2,0,0.53,0.25,1.45,2,0,0,0,0,0,0,0,1.33
ENSG00000172155,0,0.17,0,1,0.17,0.33,0,0,0,0.7,0,0.53,0.25,0.45,0,0,0,0,0,0,0,0,0.33
ENSG00000197084,0,0.17,0,0,0.17,0.5,0,0,0.5,1.37,0,0.2,0.25,1.45,0,1,0,0.5,0,0.5,0,0,1
ENSG00000186844,0,0.17,0,0,0.17,0,0,0,0,0.37,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0
ENSG00000235942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163207,1,0,0,0,0,0,0.67,1,0,1,0,0,1,3,0,1,0,1,0,0,0,0,0
ENSG00000184148,0.5,0,0.59,0,0,0,0,0,0,1.11,0,0,0,0.6,0,1,0,0,0.5,0,0,1,0.5
ENSG00000169474,0,0,0,0,0,0,0,0,2.5,2,2,1.5,0,1,0,0,0,0,1.5,1,0.25,0,0
ENSG00000163209,0,0,0,0,0,0,0,0.12,0,1,0,1.5,0,1,0,0,0,0,0,3,0,0,2
ENSG00000169469,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.25,0,0
ENSG00000163216,0.67,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.2,0,0,0.37
ENSG00000241794,0.67,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.37
ENSG00000196805,0.17,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.37
ENSG00000203785,0.17,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.2,0,0,0.37
ENSG00000244094,0.17,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.17
ENSG00000159516,0.17,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.37
ENSG00000203784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203783,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
ENSG00000203782,0.33,0,0,0.33,0,0,0,1,0,0,2,2.5,0,1,1.46,0.33,0,0.67,0,1.65,0.12,0.06,0.25
ENSG00000159527,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163218,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163220,10,1,1,3,0,7,3,2,1,21,10,18,5,11,4,18,6,20,6,2,1,2,3
ENSG00000163221,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.14,0
ENSG00000143546,0,0,0,0,0,0,0,0,0,4.5,0,1,0,0,0,1,0,1,0,2,0,0,1
ENSG00000184330,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000143556,0,0,0,2.5,0,0,0,0,0,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000197956,37948.17,36014.83,46259.5,15475,1270.33,28632.5,29156.5,31314.5,34801.5,94634.67,65442,73452.5,19185.5,59692.5,21512,32098.5,12597.5,115991,59836.83,11521,18618.33,47291.5,43494
ENSG00000196420,4,2,2,0,0,5.5,4,5,4,6,7,4,1,5,2,4,0,4,4,1,2,3,6
ENSG00000196154,8622.33,7097,8971.5,2826,153,8509.5,8718,9009,9440,20303.67,15590.25,16624.12,4382,15233,4220,9740,2940,36421.33,12491.5,1799,4892.5,9609.5,11520
ENSG00000188015,336,386,446,92,16,341,324,420,409,896,556,573,249,576.33,184,318,106,1235,375,45,254,598.5,727
ENSG00000196754,44,39,58,17,1,24,40,58,72,113,83,67,46,116,51,61,36,128,47,14,20,41,50
ENSG00000188643,2359,1624,2381.33,768,55,1475.5,1547,1530,1633.33,3715,2604,2744,1205,3717,1187.33,2220,729,5631,2148.5,293,792,1830,2060
ENSG00000189334,0,0,0.33,2,0,0,0,0,0,13,3,5,0,4,1,1,0,4,3,0,0,0,0
ENSG00000189171,914,894,1376.5,449,20,1028.5,1173,1103,1080.5,2498.5,1886,1919,687.5,1761,640,1219,381,3447.5,1420,239,505,995.5,1249
ENSG00000160678,5.5,4.5,0.5,0,0,5.5,3.5,4.5,2.5,19.5,10,8.83,1,4,4,6,4,13,3.5,2,1,0.5,7.5
ENSG00000160679,253,363,498.5,244,29,914.33,771,1042,1167.5,1638,1818.5,1789.83,462,1637,326,1159,483,1592.75,1005,216,340,767,1275
ENSG00000143553,436,397,545,187,23,412,387,392,418,1323,836,985,282,738.5,331,520,191,1735,749,160,246,582,776
ENSG00000143621,929,839,1383.5,332.33,62.67,3347.33,2959.33,3784.17,3641.5,3028.33,3666.17,3548,1393.17,5698.67,1029.5,5172,1452,4642.5,2162,283.33,1103.67,2833.17,4621.5
ENSG00000169418,11,17,10.5,4,0,11,7.33,16,17,32.83,24.46,14.25,12,29,5,19,4,26.33,11,1,15,27.25,19
ENSG00000143624,177.5,254,318,131,17,815,713,849.5,898.5,1158,1284,1079.5,367,1479,281,955,301,996,432.33,67,239,599,763
ENSG00000279767,0,0,0,5,2,0,0,0,0,8,4,4,1,1,0,0,0,0,0,2,0.17,0,0
ENSG00000143554,2.5,3,0.5,2,0,0,1,1,0,29,5,11,1,2,2,0,1,0.33,3,4,1,0,0
ENSG00000143614,135,121.5,198,60,2,369,362,500,510,692,880.5,773.5,203,912,212,503,267,482,307,38.5,135,258,475
ENSG00000198837,136.98,145.31,195.75,113.7,15,147.82,145.54,192.13,179.2,951.59,559.68,452.68,144.29,312.23,153.87,197.7,110.64,644.58,362.52,97.87,118,258.93,292.23
ENSG00000160741,130,152.5,191.5,132,21,223.5,228.5,295.5,291,898.5,655.5,536,182,627.17,189.53,322.5,170,779,372.83,93.5,166,396.83,493.5
ENSG00000143570,1389,1048,1472,306,11,1269.5,1362,1367,1482,3070,2408.5,2297.5,1140.5,2864.5,847.5,1673,560.5,4616,1603.5,200,962.5,2002.5,2166
ENSG00000143578,32,33,33,18,0,58,52,69,82,141,84,100.5,42.33,139,38,75,19,163,61.75,6,31,70,133
ENSG00000143543,848,877,1253,398,34,649,628,670,708,2270,1221,1542,493,1438,557,813,281,3182,1268,228,431,876.5,944
ENSG00000143545,445.67,371.33,548.17,132.5,7.5,658,611.17,667.17,639.5,946.5,763.67,875.83,343,1156.67,244.5,1008.83,251.5,2323.67,779.67,80.17,405.33,804.17,975.5
ENSG00000177954,1407.95,2124.13,2233.54,822.86,51.24,1881.88,1754.35,1686.02,2435.49,5215.28,3358.63,2962.46,1364.62,2707.75,1152.53,2181.7,703.77,6646.29,2851.56,455.33,990.58,2488.48,3594.8
ENSG00000143552,0,1,0,0,0,0,0,1,0,1,1,0,0,0.25,0,0,0,0,0,0,0,0,1.33
ENSG00000143549,1408.81,1275.78,1733.42,338.31,24.12,2992.39,2627.88,2951.3,2927.55,2893.05,3154.42,3378.87,1069.89,4675.72,716.07,3788.72,1008.3,6528.52,2078.85,207.33,1241.83,2666.08,3606.28
ENSG00000163263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
ENSG00000143612,962,717.5,997,336,51,767,841,729,968,2303,1611,1731,591,1453,500,1095,427,3928,1505,338,506,989,1515
ENSG00000143569,288,341,576,160,49,1292,985,1418.25,1348,1612,1662,1563,751,2956,427,1476,368,1160,464.5,226,321,829,1960.83
ENSG00000143575,639.5,610.17,820.5,234,14.5,651.83,666.17,662,731,1581.83,1213.83,1121.5,418.67,1239.17,382.17,784.33,267,3009,872.5,141.83,339.5,890.83,1050.5
ENSG00000143595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ENSG00000143515,132,114,152,54,6,90,110,138,98,381,223,201,95,196,70,117,38,433,158.5,28,68,153.5,184
ENSG00000160712,29.03,37.5,59.14,43,2,71,67,79,56,277.55,224,270.25,24,73.04,53,45,38,349.03,281.02,55,45.6,108,88
ENSG00000169291,2,0,0,0,0,0,0,0,0,2,0,3,0,0.17,0,0,0,0,0.12,0,0,1,2
ENSG00000163239,0.5,0,0,0,0,0,0,0,1,0,0.5,2,0,0,0,0,0,0,0,1,0,0,0
ENSG00000160714,515,490,610.75,253.5,33,680,634,676,745,2211.5,1496.5,1607.5,334,1071.33,382,750.5,332,2136,1031,203.17,304,696,952.5
ENSG00000160716,6,5,7.5,2,0,4,4.5,7,9,22,8,12,4,10,5,5,3,27,20,2,5,10,10
ENSG00000160710,558,534,851,224,68,2025,1792.5,2120.5,2500,3287,2094.5,2549.5,1063,3572.5,631,2703,979,3071.5,1205,624,631,1595.5,3443.5
ENSG00000143603,5.04,0.94,4.01,0.17,0,5.14,2.42,3.91,3.04,13.13,5.58,7.94,2.64,8.9,5.42,2.7,1,8.56,5.14,1.36,2.13,4.98,7.5
ENSG00000163344,305,382,450,91,1,596,523,545,581,1038,763,771,287,938,240,634,164,1743,547,57,298,604,604
ENSG00000163346,151,176,244,24,3,524,487.5,605,559.5,717,762,547,291,828.5,118,413,86.5,602,238,22,181.08,375.5,377
ENSG00000163348,237.5,212.5,295.5,85.5,10,191,180,172,206,653,530,536.5,165,477,200,214,119,685.5,424,79,117.5,324,232.5
ENSG00000160691,658.33,638.67,839.5,206,30,871.67,822.5,957.5,1011.5,1843.7,1415.07,1500.83,589.33,1588.08,403.2,1160,425.5,2918.98,948.5,243.03,506.88,1077,1436.72
ENSG00000173207,755.29,815.61,1000.94,270.3,9.76,744.79,749.29,753.04,787.17,1947.81,1307.03,1471.14,479.39,1555.02,457,1031.76,308.43,4063.21,1264.69,156.4,609.2,1228.86,1438.37
ENSG00000160688,345,355,438,170,18,473,446,485,533.5,1361,1092,1139,324,1053.5,442,679.5,285.5,1741.33,891,144,290,727,787.25
ENSG00000163352,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000160685,71.83,83.33,141.67,57.67,5,176,160,188.67,206.33,514.5,471.17,571.17,70.33,335,190,234,145,516,416,52.33,87,210,180
ENSG00000163354,2,0,1,2,2,0,0,1,1,9,6,4,2,2,0.11,0,0,3,6,0,2,0,2
ENSG00000163357,4,17,13,14,3,8,13,13,12.17,61,24,35,8,25,7,11,1,50,24,6,4,12,16
ENSG00000143537,692,535,732,166,5.5,695,673,729,661,1513,1093,1016.2,358,1434,401,873,251,2810,713,106.5,488,965,968
ENSG00000243364,46.5,34,60.5,12,0,45,64,50,41,239,166.5,209.5,44,134,89,76,33,221.5,122,19,26,62,62
ENSG00000251246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000143590,0,0,1,0,0,0,0,0,1,2,0,1,1.12,1,0,0,1,0.2,0,1,1,1,0.17
ENSG00000169242,227,144,188,269,72,212,161,169,656,3783,1315,1923,547,475,597,384,796,885,970,950,96.5,225,2493.5
ENSG00000169241,276.25,238,341,77,7,302,260,257,309,831,502.25,506,242,545,193,428,124,1230,435,75,181,409,605
ENSG00000179085,744,579,731,228,16,501,591,591.5,633,1985,1349,1410,513.5,968,673,790,314,3038,1396,231,432,1023.5,895
ENSG00000163463,2342,1505.5,2094,725,60,1600,1740.5,1756.5,1852,6230.5,4311.67,4200,1275.5,3371,1846,2303.5,880.17,9066.17,4762.25,741.5,1258,3223.17,3022.5
ENSG00000273088,0,0,1,0,0,2,0,0,0,1,1,2,0.5,0,0,2,0,2,0,0,2,0,0
ENSG00000163462,3,8,11,0,0,9,5,9,10,23,18,19,7,10,1,5,6,16,7,6,7,6,16
ENSG00000185499,30.93,29.7,28.66,10.28,0,41.71,32.82,46.61,57.55,163.73,122.25,63.27,46.26,162.27,46.53,49.91,15.97,132.51,45.09,23.62,18.13,42.13,39.65
ENSG00000279986,0,0,0,0,0,0,0,0,0.25,0.12,0,0,0,0.12,0,0,0,0,0,0,0,0,0
ENSG00000279487,1.07,1.29,0.77,0.4,0,1.36,1.34,3.44,2.5,7.92,5.41,2.23,3.44,9.58,2.98,1.43,1.32,2.65,2.33,0.25,0.57,2.19,1.26
ENSG00000169231,25,28,28,6,0,47,46.5,51,48,102.5,69,54,37,78,19,44,15,116,30,7,15,30,51
ENSG00000173171,333.5,449.6,600.43,134.5,13,623.43,566.33,692,696.6,1080.5,1009.27,931.3,306.1,1381.17,374.67,1025,322.58,1939.43,850.37,105.67,380,992.88,963.67
ENSG00000177628,341.67,238.5,334.9,53,1,675.73,602.5,644.67,682.7,1096.4,948.4,952.47,321.17,1555.17,330.5,1062.33,255.5,1681.97,622.57,59.33,402.52,868.33,954.67
ENSG00000160767,114.5,96,120,56,2,67,70,53,76,414,237,230.5,76,237,134,97,43,339,145,33,73,144,128
ENSG00000116521,1058.25,716,1014,213,12,1225,1133,1164,1299,2592.5,2211,1956.14,724,2580.5,844,1591.67,525,4430.5,1751,175,803.5,1957.33,1982
ENSG00000176444,89,101,121,106,42,143.5,109,166,149.5,885,568,463.03,135.5,281,74,166.5,108.5,255.5,190,96,75.5,117.5,219
ENSG00000143630,26.17,28.67,23.89,15,3,26.2,20.2,23.95,17.83,199.4,96.9,75,27,53.35,25.75,40.15,9.75,80.23,40.95,12.25,10.25,32,45.5
ENSG00000143627,1.33,0,2.44,0,0,1.33,0,1,1.67,0,1.83,1,0,1.33,0,0.33,1.5,0.75,0.33,1,0.5,1.33,1.33
ENSG00000160752,614.32,519.1,779.42,175.69,14.33,1398.93,1316.53,1612.92,1536.49,1671.9,1696.51,1553.59,569.1,2440.75,432.68,2099.72,539.38,3084.14,1095.67,89.95,703.33,1645.16,1832.92
ENSG00000160753,273,289,328,126,14,256,209,259,302,1217,698.5,639,239.11,561.5,244,295,131.33,1163,445.5,76,232,427,477
ENSG00000116539,70.42,79.78,148.58,86,7.42,388.09,385.08,469.5,544.08,616.94,668.26,797.24,182.08,687.74,130.28,492,201,300.95,199.1,117.95,76.19,151.1,484.1
ENSG00000125459,131,132.77,190.43,59,9.5,246.87,230.5,299,264.83,692.62,550.07,527.23,130.27,600.32,156.5,374.4,127,817.47,325.43,53,166.17,377.77,374.13
ENSG00000163374,149.5,172.53,211.5,142.17,15,321.5,311.5,424.67,467.17,1200.33,928.17,1031.67,218.17,686,242,491.5,280,872,652.17,185.17,166.5,408.67,778
ENSG00000132676,370.5,359.04,531.5,146,20.04,1121,1020.3,1184.5,1383.67,1433.83,1464.27,1196,440.54,2230.33,303,1629,386,1993.7,789,88.55,460.5,966.42,1570.4
ENSG00000116580,111,122.46,188,104,8.17,342.5,290,393.83,463.17,893.17,737.67,724,196.83,558.81,135.5,380,179.5,516.5,356.83,135.83,102,219.67,669
ENSG00000132718,8,12,13,0,4,29,27,35,29.33,20,22,26,27,40,6,37,4,35,15,3,12,31,36
ENSG00000143622,96,77,107,76,3,190.5,168.5,255.5,287,527.5,489.5,589,73,266.5,102.5,247,107,538,328,60,64,160.5,281.5
ENSG00000132680,200,265.11,287.2,276,107,367.5,280,310,382.5,1834.5,1558,1119,233,553,188,427,268.5,391,311,292.5,95,206.5,571
ENSG00000173080,0,1,0,0,0,4.5,0,0,0,1,4,1,0,4,1,2,0,4,3,0,0,0,0
ENSG00000116584,70.43,82,120.3,48,11,205,149,245,239,566,484,506,166,390.25,135.43,249,120,244,197,54,89,196,349
ENSG00000163479,2364,1643,2240,523,27,3090,3055,3050,3193,5778.33,4162,4627,1647,4859,1337,3915,1192,11963,4272.25,523,1619,3608,4107
ENSG00000160803,441,381.17,528.5,104,9,493,488.67,523.5,524.5,985.33,906,806.83,278.17,1132.33,290.5,552,172.67,1417.67,477,67.33,288.67,635.5,585.33
ENSG00000116586,1285,1225.33,1743,398,24,978,885.5,942.5,988,2513.5,1581.5,1738,889.5,1896,687,1198,380,4069,1659,191,605,1322,1355.83
ENSG00000132698,0,0,0,0,0,0.5,0,1.5,0,0.5,0,0,0,0,0,1,0,0,0,0,1,0,0
ENSG00000254726,15.5,13,20,9,4,19,21.33,25,22,80,70.14,87,12,50,35,25.5,29,64.75,63,8,12,27,10
ENSG00000160789,1409,1634.5,2914.5,449,118,7951.75,7233.5,10711.5,9906.5,6659,8355.5,8122.17,4091,16075.08,2348.6,8274,2293.5,4721,2500.5,435,2153.5,5718.83,7758.2
ENSG00000196189,0,0,1,0,6,0,0,1,3,10,5,2,0,1,0,0,0,2,0,3,0,0,6
ENSG00000160785,218,171,227,73,8,174,203,194.5,273,597,408,467,173,370,156,323.25,134,1063.5,447,112,156,331,511
ENSG00000260238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160783,34.33,34.5,59.5,5.5,0,56,72,90,61,120,100.56,103,20.02,91.25,14.53,73,11,205.86,40.5,3,37,62,75.5
ENSG00000242252,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,2,0,0,0,0,1
ENSG00000160781,5,6,7,6,1,1,2,0,0,37,8,3.33,1,2,4,4,1,2.5,3,6,0,2,7
ENSG00000198952,298.33,248,370,133,17,393.25,390,455,425.5,1096,723,718,228,637,262,476,176,1494,566.5,123,188,459,539
ENSG00000163472,31,41,37.25,23,2.11,35,37,32,56,202,143,110.5,38,73,30,29,7,170,55,28,27,62,101
ENSG00000198715,387,283,400,84.67,5,423,406,437,398,830,668,585.5,292,887,320,630,144,1673,618,71,356,815,763
ENSG00000189030,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000163468,2255,2298.53,3859.03,750.5,54,11086.5,9107,12129.25,11793.16,7650.56,10323.85,10093.47,3502.5,17036.23,2327.04,13233.07,3612.58,11440.8,5658.54,450.06,3149,7779.03,10879.55
ENSG00000163467,24,17,27,10,1,23,18,19,25,73,56,48,14,28,9,20,6,117,36,10,17,15,29
ENSG00000132677,0.5,1,0.04,0,0,0,1,0,0.5,0,0,0.67,0,0.5,0,0,0,1,1,0.5,0,0,0
ENSG00000125462,7,4,4,3.5,0,7,8,7,9,42,16,19,6,7,3,6,1,58,22,6,5,19,18
ENSG00000116604,204,191.5,292.5,141.4,45,429,366,372,511,1505.5,1352,1317,254,1027.5,443,583,395,936,699,195,243,489.2,673
ENSG00000183856,162,181,269,80,6,489,419.5,577,626,567,636,497,217.5,1171,151,507,92,555,143,37,149,356,542
ENSG00000187862,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.17,0,0,0,0
ENSG00000163382,1294,1001.5,1334.5,296,16.5,1118.75,986.5,1005,983.5,2081.5,1528,1523.83,642.5,2145.5,695.5,1516.5,432.5,4538.5,1486.5,124.5,751,1683.5,1525.5
ENSG00000160818,204.2,267.83,354.33,183.5,54,704,593.08,880.33,825.79,1602,1429.33,1368.17,293,1040.4,239,657.33,250.08,1067.7,618.7,140,214,464,968
ENSG00000280316,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000132702,0,0.5,0,0,0,0,1,0,2,4,0,0.11,0,0,0,0.5,0.5,0,0,0,0,0,0
ENSG00000132692,68,73.33,97,93.57,8,76,48,60,60,469.25,318.25,395.38,74,165.33,105,78,49,321.25,210,107,42,105,168.17
ENSG00000132688,4,4,12,0,1,106,54,79,59,141.17,135,98.62,33,166,31,80,27,27.33,8,7.17,4,10,30
ENSG00000143320,21,29,30,5,5,28,38,46.05,38.5,77,52,56,28,55,14,45,13,93,31,8,15,31,48
ENSG00000143319,162.5,194,237.67,103.5,9,256.92,266,340.5,345.5,988,797.5,901.5,164,507.67,243,401.17,225.17,771.17,683.5,106,149,291.5,513.67
ENSG00000143303,97,108,122,40,9,153,171,151,170,459.5,330,297,111,276,97,190.5,67,496,203,48,67,178,218
ENSG00000143314,874,712.5,1130.5,258,21,1714,1596,1885,1713,2416.5,2376,2393,695,3049.5,705,2392,752,5456,2081,171,898,1914,2107
ENSG00000143321,2050,1932.87,2880.75,540,56,2404.53,2730.5,3014,2779.23,4593.17,3578.37,3932.37,1403.5,4773.33,828.5,3002.83,952.5,7648.5,2230,323,1541.5,3290,3476.25
ENSG00000143294,422,405,544.5,183,13,734.5,681.5,782,819,1835,1606.83,1452.5,367,1328,505.5,884.5,389,2552.5,1284,201,409,940,1236.12
ENSG00000027869,12,6,13,9,0,11,5,10,14,32,31,33,0,38,14,17,5,67,25,4,12,13,16
ENSG00000198400,0,2,1.31,0,2,0,0,0,1,3,2,2,0,4,2,1,0,0,0,1.2,1,3.2,3
ENSG00000027644,3,0.5,0.5,0,0,0.83,0,0,0,8.5,0,1.79,0.25,1,0,0,0,0.5,1,1,0,0.5,0
ENSG00000187800,18,25,41,17.22,3,38,73,82.25,115,150.5,100.5,126.5,106,130.17,49,45,20,57,34,8.33,29,67,99
ENSG00000160838,17,1.33,3.67,1,0.67,1,2.33,1.33,0.33,13,6.67,6.67,0.33,3.33,1,1,0,5.33,0.5,2.33,1,4.5,1
ENSG00000132694,150,188.25,216.5,51,14,361,383.5,443.33,456,739.25,642.5,606,195,684,170,449,150,823,336.43,66.14,173.14,413,413.98
ENSG00000253831,5,7,8,8,2,11,13,25.5,35.08,74.83,48.67,57.33,20.33,41.83,6.5,10.33,13.5,32,22.5,38,5,13.67,87.33
ENSG00000117036,58.5,66,94,75,18,199,215,227.5,370.92,720.17,553.67,641.33,207.33,342.08,151.5,259.33,241.5,368,292.5,331,83,208.5,1271.33
ENSG00000143297,0,0,0.17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160856,1,0,0,0,0,0,0,0,0,1,0.7,0.17,0,1,0,0,1,0,0,1,0,0,1
ENSG00000132704,0,0,0,0,0,0.33,0,0,0,0,0.2,0,0,0,0,0,0,0,0.11,0,0,0,0
ENSG00000163534,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,1,1,3.92,0.67,0,1.67
ENSG00000073754,0,0.33,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183853,602,597,842.5,186,3,772,1009.5,1119,1180,2257,1563,1592,875,1742,620.17,891.5,275,2306,938,133,541,1240,1288
ENSG00000158473,0,0,0,0,0,0,0,1,0,1.5,0,1,1,1.5,0,1.5,0,5,2,0.5,0,1,1
ENSG00000158477,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
ENSG00000158485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
ENSG00000158488,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
ENSG00000186306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5
ENSG00000180708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
ENSG00000173285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0
ENSG00000198965,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197532,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186440,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000279111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163554,2,0,1,0,0,0,0,2.5,1,1,0.5,3,1,1,0,1,0,1,0,1.07,0,0,0.67
ENSG00000196171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203757,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ENSG00000180433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
